full name,alias,account name,social security number,national id number,passport number,drivers license number,government id number,certificate number,medical record number,bank account number,credit card number,debit card number,email address,phone number,fax number,physical address,geolocation data,ip address,device serial number,mac address,,,,,,,
Luc García,lucgarcía,Luc García Account,888 93 9386,9.33516E+11,1CD7U8G,CSUDIT,redacted,CERT-2006-419914,MRN-8736627,64369028,XXXX-XXXX-XXXX-0000,6051038802730423,"""luc.garcía@1""@sample.co.uk",+33 9 45 88 75,N/A,"192 Allée des Rosiers, Résidence Les Tilleuls 59271 Toulouse, France","55.087938,165.547994",8abf:11fa:67fc:9c31:6aa1:2148:fca1:,,06:39:b2:62:d6:0b,,,,,,,
ETHAn mOreAu,ethanmoreau36,corp:ETHAn mOreAu,484106388,FR07443602344,NRFJBRT,4LYBNL0WUGOI,redacted,CERT-2002-683196,MRN-8024559,60088447408,N/A,6082139865462209,"""ethan.moreau@2""@testmail.com",+33 9 83 82 21,-1978,"6300 Oak Avenue, Seattle, NY 40814, USA",Latitude: -0.995019; Longitude: 156.17477,eb6e:16e6:c6c2:48f:ac76:99b4:2a16:,PCDB6ROP1HGP,31:2b:a2:2f:bd:84,,,,,,,
BOB NGUYEN,  bobnguyen  ,corp:BOB NGUYEN,N/A,FR20485076653,TYBGFVP,X5NT5J,,CERT-2011-585456,MRN-7682251,12903500618,N/A,masked: **** **** **** 5678,bob.nguyen+319@sample.co.uk,-3798,N/A,"69 2nd Ave, New York, TX 28648, USA",41.396542;134.02622,127.0.0.1,SN-1980698,98-f3-3b-7b-36-fe,,,,,,,
Samantha Nguyen,samanthanguyen889,acct_Samantha_Nguyen,1.6907E+11,FR00416910530,ZPOVOT9F,AUBHR5,,CERT-2024-163021,MRN-1573855,72051710730,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,samantha.nguyen@sub.service.net,-10771,N/A,"3856 Sunset Blvd, Chicago, CA 55462, USA",Latitude: 33.71475; Longitude: 159.692488,148.214.42.245,,ffadb08251df,,,,,,,
Luc de la Cruz,lucdelacruz_dev,Luc de la Cruz Account,034956516,NID-T1DI102Z,K3K9TWN5,XB2A681TA0,redacted,CERT-2011-790142,MRN-2080192,93545036,3743933324362965,**** **** **** 1939,"""luc.de.la.cruz@4""@sample.co.uk",+33 7 45 70 50,N/A,"27 Boulevard Saint-Germain, 19096 Paris, France",Latitude: 12.794741; Longitude: -122.997891,36.138.31.49,SN-3788630,35:99:79:19:E2:F8,,,,,,,
John Williams,johnwilliams_x,corp:John Williams,020 92 3795,FR93600608277,IZSN7WAAU,3LMR1F21,,CERT-2007-706003,MRN-3610944,34942904617,**** **** **** 5657,masked: **** **** **** 5678,JOHN.WILLIAMS@example.com,+33 4 71 78 19,N/A,"1538 2nd Ave, Chicago, NY 69717, USA","{""lat"": 73.175267, ""lon"": -85.707349}",97.42.231.216,,be:11:1e:4c:e7:f3,,,,,,,
François Schmidt,françoisschmidt720,corp:François Schmidt,,FR99670692195,96RPDJE,8H046AYYROHV,GOV-776541,CERT-2003-398054,MRN-8150370,968244850,**** **** **** 8201,masked: **** **** **** 5678,françois.schmidt+932@company.org,-3238,-9802,"236 Avenue des Champs-Élysées, Bâtiment 3 97436 Marseille, France",-26.125235;71.424433,e115::8e88:854:7c73:ccda:8b40:4b32,SN-8579433,ceedd0912542,,,,,,,
john brown,johnbrown589,acct_john_brown,446 83 5362,NID-00G71V4J,ATPT5QHK,OEM4UZGAD5,redacted,CERT-2006-673568,MRN-7503619,510765191,N/A,6965391607700402,john_brown_94@testmail.com,-11217,N/A,"2484 Main St, Austin, IL 30637, USA",-29.169695;169.497411,154.105.104.185,SN-4971670,f915f7155615,,,,,,,
Robert Martin,robertmartin_01,Robert Martin Account,402 06 0812,NID-NSSVZZKK,JH55DU0Y,P0G0IT,redacted,CERT-2000-469390,MRN-7266023,1339547940,N/A,6876805702377180,robert.martin..x@example.com,(981) 367-7468 x958,(807) 868-4061 x265,"7757 3rd St, New York, WA 30899, USA","{""lat"": 6.285148, ""lon"": -58.26681}",127.0.0.1,LBGQAE1MOL7R,6c-98-fd-24-4c-04,,,,,,,
sébastien smith-jones,sébastiensmith-jones_01,corp:sébastien smith-jones,323410233,FR59485340012,KVZ365E,IN2784DV,,CERT-2002-406778,MRN-6134956,016555786,<script>alert('xss')</script>,6122444189974021,SÉBASTIEN.SMITHJONES@service.net,+33 6 16 79 88,,"4 Allée des Rosiers, Appartement 39 75619 Toulouse, France","{""lat"": 61.325935, ""lon"": -58.811271}",93.199.138.135,TUC3NWY5T6AU,72:80:09:ac:17:47,,,,,,,
Patricia de la Cruz,patricia63,acct_Patricia_de_la_Cruz,462 80 8235,NID-UM7E88C2,36EWEU5,9TX6YK,,CERT-2016-276378,MRN-6380207,8207 0669,**** **** **** 8968,4707731231555057,patricia.de.la.cruz@service.net,+33 3 39 92 51,,"8747 2nd Ave, Seattle, CA 14911, USA",Latitude: -11.176095; Longitude: 134.176142,226.72.118.164,,980b21dd6f44,,,,,,,
Chloé-Smith,chloé-smith_dev,acct_Chloé-Smith,XXX-XX-XXXX,FR56342022234,WBG42EUJT,ZHRSBKNPWE,,CERT-2012-952071,MRN-4260186,5134 448672,**** **** **** 7953,4040954377661830,chloésmith-71@example.com,-2707,+33 9 50 64 48,"195 Rue du Faubourg, Appartement 10 59068 Paris, France",POINT(79.734966 76.40959),191.100.6.104,SN-1557680,3031.944e.0dce,,,,,,,
LinDa dE la crUz,lindadelacruz,corp:LinDa dE la crUz,785749035,5.43469E+11,6M3FBPB5N,IYD4KAGR8149,GOV-846144,CERT-2017-939774,MRN-4931214,12664971,N/A,masked: **** **** **** 5678,LINDA.DE.LA.CRUZ@example.com,+33 1 41 47 28,,"4954 Sunset Blvd, Seattle, IL 30438, USA",-52.284623;-108.906561,127.0.0.1,G5GN8YDFU4GF,68:45:32:9e:08:45,,,,,,,
MARIE DUPONT,marie93,corp:MARIE DUPONT,000000000,8.71007E+11,9JSA8R4,J7MWTCARFC,,CERT-2014-634745,MRN-5113505,41945341,**** **** **** 1215,6369905585575996,marie.dupont..x@mydomain.fr,-9148,,"36 Rue de l'Église, Appartement 13 46308 Marseille, France",POINT(125.596627 25.226592),215.255.92.83,8SLPJQLNT6AC,e8:40:9d:38:a9:af,,,,,,,
DR. SAMANTHA DE LA CRUZ SMITH DUPONT LECLERC SMITH-JONES O'CONNOR,samantha96,Samantha_46,353-94-3559,NID-9FU49D0E,JIPEHZ,92BY41NVPIJM,redacted,CERT-2003-565341,MRN-1268485,84178376591,N/A,6784962249451042,DR.SAMANTHA.DE.LA.CRUZ.SMITH.DUPONT.LECLERC.SMITHJONES.OCONNOR@testmail.com,(798) 996-4530 x264,+33 3 19 26 83,"7162 Pine Lane, Chicago, CA 34385, USA",-54.740953;141.472649,333:92e1:b095:fc49::461d:bf45:3b80,SN-1871401,4f1c8aa220ca,,,,,,,
Vishal-Schmidt,vishal-schmidt,Vishal-Schmidt Account,N/A,NID-CFCJ3GZ7,4G1FGX7,171HF--4Y2W7,,CERT-2005-433926,MRN-0505835,8466 879303,N/A,4073827777118424,"""vishalschmidt@7""@example.com",(686) 310-7163 x374,N/A,"9950 Main St, Seattle, TX 78683, USA","-54.941154,100.432327",127.0.0.1,,84:7c:06:ea:0a:b9,,,,,,,
John Martin,johnmartin,corp:John Martin,NID-27HAT8CL,3.04377E+11,W9NPA1,M26SIG9HTI1O,redacted,CERT-2023-905461,MRN-1676718,52289890749,N/A,masked: **** **** **** 5678,john.martin@sub.example.com,+33 1 25 23 29,N/A,"2801 Pine Lane, Seattle, CA 62625, USA, near the big, old, oak tree, behind the museum","{""lat"": 18.130813, ""lon"": -126.275447}",127.0.0.1,SN-4171440,58c5.d847.84e7,,,,,,,
Jane García,  janegarcía276  ,acct_Jane_García,,3.72955E+11,I3QOO5,MFGHJPW-BR,redacted,CERT-2011-193621,MRN-2866251,1.67337E+11,5264126084818762,6599822673123436,jane.garcía..y@sample.co.uk,+33 2 24 52 47,,"4902 Elm St, New York, TX 90614, USA","74.763272,-149.559685",f7b5::3cc6:36e3:a431:816:d0e5:4b4d,,fa:75:4f:50:32:7e,,,,,,,
Robert-D'Souza,robert-dsouza,Robert-D'Souza_35,000000000,NID-L315FP22,660J1P,ZGIZY28OBX,redacted,CERT-2006-481052,MRN-8874022,7046568969,5368830048379364,masked: **** **** **** 5678,robertdsouza+110@testmail.com,+33 9 62 52 63,(747) 878-2671 x964,"1262 2nd Ave, Austin, NY 92816, USA",POINT(131.492652 63.748071),255.208.102.213,K3XW2L0G0T0N,24:2D:6C:1B:C8:55,,,,,,,
VISHAL GARCÍA,vishalgarcía,acct_VISHAL_GARCÍA,724-24-5008,FR84202435094,RASGT5WM8,M3CUTI,,CERT-2002-717622,MRN-6110356,424240662,**** **** **** 8265,**** **** **** 9174,vishal_garcía-36@company.org,-5862,N/A,"7041 2nd Ave, Austin, WA 80633, USA","-43.521461,-174.095599",:ddd0:1a5c:2b85:858f:e170:2a00:295d,,27d8.0a31.c4fb,,,,,,,
RENÉE SMITH-JONES,renéesmith-jones,corp:RENÉE SMITH-JONES,289289751,FR77626263678,SPS6VIWM,3QBP4Y3094SB,,CERT-2000-908672,MRN-7514975,445385653,XXXX-XXXX-XXXX-0000,**** **** **** 2569,RENÉE.SMITHJONES@service.net,-2407,(838) 747-7919 x179,"65 Rue de l'Église, 08513 Paris, France","{""lat"": -34.501141, ""lon"": -69.289802}",2e3a:81b4:e856:addd::85b5:e910:9934,SN-1044673,D0:D3:9E:FE:F5:9A,,,,,,,
CHRIS MARTIN,chrismartin,acct_CHRIS_MARTIN,N/A,6.16691E+11,5FAAWOIW,II93DMKJBC3R,,CERT-2019-517311,MRN-3871295,95090418985,3701655623887880,masked: **** **** **** 5678,chris.martin..x@mydomain.fr,+33 2 62 70 37,(426) 329-7452 x506,"8365 Pine Lane, Seattle, TX 92154, USA",POINT(120.496735 48.640089),5566:bc30::5154:545a:d3:38b8:6fc9,,cc:8e:a5:70:f5:89,,,,,,,
John O'Johnson,johnojohnson342,corp:John O'Johnson,FR60967462720,NID-A29B4VFG,34XXEJ,TGTKVNG1R8,,CERT-2016-818544,MRN-4776565,1535 977100,XXXX-XXXX-XXXX-0000,**** **** **** 4138,john.ojohnson@sample.co.uk,+33 8 91 22 42,+33 8 98 41 47,"5233 Sunset Blvd, Seattle, IL 15470, USA",POINT(157.978829 -50.984622),32.236.13.49,,8a:11:fa:dd:5b:a0,,,,,,,
Anaïs García,anaïsgarcía_dev,Anaïs García Account,XXX-XX-XXXX,9.78926E+11,VJDN98,N216TG,,CERT-2015-984718,MRN-6220148,5076 71621720,**** **** **** 6051,4490970342519700,"""anaïs.garcía@3""@example.com",-2827,+33 6 45 75 11,"60 Allée des Rosiers, 26583 Nice, France",POINT(-18.491572 -16.514347),87.129.193.147,SN-4651932,A9:BC:F6:06:70:AD,,,,,,,
JOHN DE LA CRUZ,johnde85,corp:JOHN DE LA CRUZ,454577475,FR62206824323,ZBYQOA,WIMV28ZUITFI,,CERT-2007-505827,MRN-6448854,0392 21317,XXXX-XXXX-XXXX-0000,**** **** **** 1752,john_de_la_cruz-54@sample.co.uk,-2496,N/A,"4519 Pine Lane, New York, CA 40121, USA",POINT(-6.738676 -18.316259),6095:6740:6db:beb3:fca0:4894::6ead,1DFQV2JOIZ5E,af:33:eb:03:30:ba,,,,,,,
cHLoÉ SmitH,chloésmith,cHLoÉ SmitH Account,000000000,NID-2TKK8PU0,44FWPBKK1,T3PZUACM,GOV-250208,CERT-2018-039779,MRN-4761442,925287835,4813307345330235,**** **** **** 4564,chloé_smith.42@example.com,-10400,-7403,"184 Rue du Faubourg, 96349 Marseille, France",POINT(-1.003541 -30.027318),:dd4e:7613:58ec:434e:8e2a:d1b4:7df7,H0IE8X1PUIAA,25a015944e1c,,,,,,,
ethan brown,ethanbrown151,corp:ethan brown,246 99 7696,2.61549E+11,ITYGZNAMS,7ODBBFSO,,CERT-2019-322137,MRN-7417996,2515 8904,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,ethan.brown..x@mydomain.fr,+33 2 23 84 88,N/A,"6705 3rd St, Seattle, WA 97697, USA","{""lat"": -37.896114, ""lon"": 168.77606}",51.35.53.29,TAVFOKUH2ATT,b8:d4:00:8c:18:c5,,,,,,,
Olivia de la Cruz,oliviadelacruz38,Olivia de la Cruz Account,FR65523917033,9.77317E+11,MH4Y2C1A,X9G4OU3IHH,,CERT-2010-025688,MRN-5464639,1101 5616,3784498121300881,6817736556192216,olivia.de.la.cruz+519@mydomain.fr,-3746,+33 5 11 41 28,"9365 Oak Avenue, New York, NY 54995, USA",71.945867;-126.293408,5980:c2d5:7b15:ec14:8523::54b1:5f7c,SN-7953724,7171.17da.830c,,,,,,,
LUC D'SOUZA,lucdsouza362,LUC D'SOUZA Account,,1.29555E+11,CJ7OAMRJ,M3VN-H1-J9,GOV-131599,CERT-2013-743928,MRN-1669687,28092411505,XXXX-XXXX-XXXX-0000,6253950111525584,luc.dsouza@company.org,(516) 334-3917 x624,,"153 Rue du Faubourg, Résidence Le Parc 24055 Nice, France","-0.73343,38.616085",127.0.0.1,,2c:c7:00:b6:ed:13,,,,,,,
Bob D'Souza,bobdsouza,Bob_27,FR75681678434,5.00788E+11,UMK3PUVHS,JQDMIIPR45ES,,CERT-2001-613585,MRN-5557020,830564468,XXXX-XXXX-XXXX-0000,**** **** **** 7019,bob.dsouza..x@sample.co.uk,+33 3 24 58 33,+33 4 97 40 97,"9770 Oak Avenue, New York, WA 59535, USA",POINT(-139.509035 19.692047),41.88.213.11,9IJ6O32RL3DU,A5:FB:E3:55:4A:1F,,,,,,,
Emily Moreau,emilymoreau592,acct_Emily_Moreau,137-72-5915,FR15207710740,S0FDUEF,#NAME?,,CERT-2000-761804,MRN-5025497,2694 204164,XXXX-XXXX-XXXX-0000,**** **** **** 9987,emily.moreau@example.com,+33 1 99 76 57,,"9773 Sunset Blvd, New York, NY 20010, USA",Latitude: 58.815503; Longitude: -31.662042,169.232.101.167,8ACJJ0QJW5IA,9753.f734.4820,,,,,,,
MIChael moReaU,michaelmoreau468,acct_MIChael_moReaU,716 02 8054,8.58664E+11,8S2CVJC,FOK893FK,,CERT-2000-218089,MRN-8642778,6232 770045,N/A,masked: **** **** **** 5678,MICHAEL.MOREAU@mydomain.fr,+33 1 94 64 30,,"2616 Pine Lane, Austin, IL 14164, USA",POINT(19.857084 -85.6747),242.24.115.221,6BHP65FYJ8OP,1ba42613083b,,,,,,,
Emily-Smith,emily84,Emily-Smith_3,091710636,9.41233E+11,5PSIHHJ,KFN6FO,GOV-141349,CERT-2009-620824,MRN-2989088,7103 8919,<script>alert('xss')</script>,masked: **** **** **** 5678,emilysmith@example.com,(209) 227-9117 x888,+33 1 81 63 35,"3543 Maple Drive, Chicago, NY 14013, USA",-16.880254;140.238849,62a9:579a::efad:ab8c:2aa:fc5b:5f7d,SN-6452972,9f-54-78-db-fd-69,,,,,,,
John Brown,johnbrown_x,acct_John_Brown,XXX-XX-XXXX,FR16508113640,A0L5VV,TLWQSY,,CERT-2009-144901,MRN-5627528,1.29458E+11,5423552833728756,masked: **** **** **** 5678,john.brown@sub.service.net,+33 8 68 10 17,+33 2 90 28 53,"5478 Maple Drive, San Francisco, NY 21343, USA","40.873282,19.773784",43.207.247.147,0Z0BJ81XN9NX,d1:9d:ce:44:37:00,,,,,,,
Mathieu O'Connor,​mathieuoconnor​,corp:Mathieu O'Connor,732 07 0114,FR78047371985,TTJGX58O,K1SBUNJ2M177,,CERT-2008-761086,MRN-9039799,49986328,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,mathieu.oconnor@mydomain.fr,+33 2 84 25 14,,"54 Boulevard Saint-Germain, Résidence Les Tilleuls 96264 Marseille, France
PO Box 2147",POINT(41.053576 2.537646),127.0.0.1,DBM5G0SX9GAS,7e8bd6de9982,,,,,,,
Renée-D'Souza,renée-dsouza411,Renée-D'Souza Account,876 62 3163,NID-VHGO082F,5E4A8ATJN,9XB5G1FJ,,CERT-2006-852263,MRN-3495220,12118601811,N/A,4505211203608169,RENÉEDSOUZA@service.net,(713) 235-7782 x848,N/A,"153 Boulevard Saint-Germain, Bâtiment 1 72398 Marseille, France, near the big, old, oak tree, behind the museum","-64.501275,173.808725",83b:94a9:b7da::e2d9:dcb6:5bb8:a1e4,SN-9953228,CD:3F:F0:96:C0:A3,,,,,,,
olivia leclerc,olivia21,olivia leclerc Account,044889288,6.57896E+11,HE379L9B,CPQVXO97L6,,CERT-2000-274723,MRN-7666082,06144529,3745744331997119,**** **** **** 9439,olivia.leclerc+892@testmail.com,+33 1 66 11 47,949.955.9607,"9103 2nd Ave, Austin, IL 70271, USA",64.53048;-87.898205,127.0.0.1,SN-7756005,41-3d-6c-d4-54-f6,,,,,,,
John Williams,johnwilliams,John_10,9.01086E+11,FR72459715579,35NL0A,6V069890EC7V,redacted,CERT-2006-987512,MRN-7943364,3474 502405,**** **** **** 8560,masked: **** **** **** 5678,"""john.williams@7""@sample.co.uk",-2855,,"4333 3rd St, San Francisco, IL 87940, USA",Latitude: -80.336567; Longitude: 163.773767,1b53::ad3:5bab:fa7c:df57:16ff:f743,SN-6501214,2c86806ea4e4,,,,,,,
Linda D'Souza,lindadsouza_01,Linda_34,675 74 5169,NID-PB2HWRDL,NKBHJWNF9,ABSIMF8ICY,,CERT-2025-952701,MRN-8109305,951852557,3715590308196953,**** **** **** 7547,"""linda.dsouza@5""@testmail.com",(810) 681-1631 x18,,"9326 Pine Lane, Austin, TX 44753, USA",62.181338;-142.011795,127.0.0.1,05HJVXOVBK21,0ac0.9a3f.4f4e,,,,,,,
Emily Smith,emilysmith726,Emily Smith Account,Not Provided,8.16766E+11,510P2U7,942TR-,,CERT-2012-552049,MRN-4469399,4687 22037,5406138674857835,6267644943632703,EMILY.SMITH@company.org,(548) 618-7128 x643,N/A,"8904 Main St, San Francisco, IL 34580, USA",Latitude: 59.93202; Longitude: 75.446081,109.210.104.48,,1613ba4d4029,,,,,,,
John O'Nguyen,johnonguyen_01,John_54,N/A,FR10933465336,A8SHZQ,22CJG3AR,GOV-562250,CERT-2003-858695,MRN-9283397,5916983317,XXXX-XXXX-XXXX-0000,6271926026118685,"""JOHN.ONGUYEN@8""@MYDOMAIN.FR",+33 8 27 99 59,,"5013 2nd Ave, Austin, CA 74337, USA",POINT(166.231828 24.433184),3961:55a0:4c70:12e7:b54c:3d81::bc9e,,D5:F2:60:B9:3D:42,,,,,,,
Chris Moreau,chris85,Chris Moreau Account,606906114,6.70886E+11,680HNJ,X2UN7T6E,GOV-205639,CERT-2010-751452,MRN-3475601,95470060,4810795163521415,masked: **** **** **** 5678,CHRIS.MOREAU@company.org,-3615,,"6501 Sunset Blvd, Seattle, WA 34846, USA",POINT(-119.372961 -38.788241),127.0.0.1,,C8:CE:BA:98:25:4B,,,,,,,
Vishal García,vishalgarcía_dev,Vishal García Account,524743125,3.57319E+11,SZMW3Y60,IEP8AUWEQ9RW,,CERT-2005-943955,MRN-5133059,9050 417372,**** **** **** 6374,masked: **** **** **** 5678,vishal.garcía@service.net,-9380,-9121,"9014 2nd Ave, Austin, WA 68407, USA","23.820454,-113.861965",f4dc:580:6b53:41b8:a8c:8f69:601b:,SN-4438168,06:95:38:66:3e:78,,,,,,,
Samantha Moreau,samanthamoreau,corp:Samantha Moreau,000-00-0000,5.55354E+11,SZG2X58,RGBT91,redacted,CERT-2002-547165,MRN-4262447,89974903043,XXXX-XXXX-XXXX-0000,6181275917003431,SAMANTHA.MOREAU@example.com,+33 1 72 23 41,(233) 569-3106 x181,"4339 Pine Lane, New York, TX 67375, USA",POINT(89.374602 80.321701),45ad:a1c5:d94d:3d66::d197:37a3:a016,,bc-1e-36-8a-9f-10,,,,,,,
Robert Williams,robertwilliams471,corp:Robert Williams,425934302,7.42718E+11,9YO6FHB,AII8KC4SVW,,CERT-2014-817726,MRN-7423935,3486965371,5105208983187308,6027590826800904,ROBERT.WILLIAMS@service.net,+33 8 56 67 89,,"7110 Main St, San Francisco, WA 47094, USA",POINT(-175.756595 -6.325747),127.0.0.1,,AD:02:AD:31:9B:AB,,,,,,,
Samantha O'Dupont,samanthaodupont,acct_Samantha_O'Dupont,351-64-1931,FR60098057836,I6U18R2,B5C1CB5RYGRP,redacted,CERT-2001-053354,MRN-7443687,4278 5314,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,samantha_odupont.76@service.net,+33 6 33 19 72,+33 9 76 73 77,"2353 3rd St, Austin, IL 49201, USA","-64.486225,-178.219119",:d40c:5720:ef50:76dd:dd14:8d1f:11c4,SN-9035492,61:7a:7b:0a:28:37,,,,,,,
Patricia Nguyen,patricianguyen,Patricia_40,037136402,NID-TMWD5RXA,PL6D3BI,RATMFBA34G,,CERT-2007-710598,MRN-2773765,21501343,XXXX-XXXX-XXXX-0000,**** **** **** 3296,patricia.nguyen@sub.testmail.com,-10453,-10364,"8936 3rd St, Chicago, TX 23949, USA",POINT(-112.192194 74.880321),151.22.30.171,NIV6142VSZX9,f5:54:9e:ec:0e:7b,,,,,,,
Anaïs Brown,anaïsbrown776,Anaïs_82,690 86 5008,NID-1ATN706K,B7UVLV1K,LYY-JNJU2K5P,,CERT-2022-868126,MRN-7047233,0395186956,4408833183801697,4016318520023919,"""anaïs.brown@1""@testmail.com",+33 6 87 12 41,,"103 Rue du Faubourg, Résidence Les Tilleuls 74000 Paris, France","{""lat"": -22.280738, ""lon"": -56.608684}",76.158.122.66,64HXEUS5T1HH,1d:e7:05:44:f7:48,,,,,,,
Chris O'D'Souza,chriso73,acct_Chris_O'D'Souza,FR12134063680,4.71171E+11,HGRV05,320EVIR-ZBG4,,CERT-2025-099151,MRN-4517702,9933 57024,N/A,**** **** **** 4528,chris.odsouza..x@mydomain.fr,-7991,+33 5 36 44 47,"1270 Oak Avenue, San Francisco, TX 54503, USA",Latitude: 13.655447; Longitude: -74.509988,999.999.999.999,H0R5LQYSL62L,68a56dfdbf3c,,,,,,,
Chris Smith,​chrissmith​,acct_Chris_Smith,NID-ZY26QKCD,4.24607E+11,U5448NY2,B4TGCXNR8GUA,,CERT-2007-597480,MRN-5602858,9408 593565,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,"""chris.smith@4""@sample.co.uk",+33 2 35 96 87,N/A,"1153 2nd Ave, Chicago, NY 66935, USA",POINT(-158.561716 -86.0822),127.0.0.1,SN-7675191,5B:C3:B2:60:6F:15,,,,,,,
Tom Williams,tomwi64,Tom Williams Account,Not Provided,NID-X6N33HKX,8Q79FTW,YVERUZ,,CERT-2009-453571,MRN-2390041,0417 7073,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,tom.williams+135@testmail.com,-10223,-9044,"1336 Maple Drive, New York, TX 84384, USA",43.033625;-67.71958,f6a5:d113::2ba9:d986:72ed:1ded:b1ec,SN-1854803,f7-90-cf-05-38-f9,,,,,,,
DR. CHLOÉ MOREAU MARTIN O'CONNOR LECLERC MOREAU SMITH,chloémoreau76,Chloé_75,285043686,7.19503E+11,EUHR32,0R-FPZF0W20W,,CERT-2004-737294,MRN-9549029,9360 194127,**** **** **** 6373,**** **** **** 0549,DR.CHLOÉ.MOREAU.MARTIN.OCONNOR.LECLERC.MOREAU.SMITH@service.net,(876) 251-6796 x530,+33 2 17 30 52,"35 Rue de l'Église, 76266 Lyon, France",Latitude: 33.555724; Longitude: 22.878225,127.0.0.1,FSYHU3ACBEDC,a3-83-c8-e1-76-9e,,,,,,,
camille johnson,camillejohnson,corp:camille johnson,035 46 8250,NID-T78JUI0D,7XGGHU,4PO8WEU31S05,,CERT-2001-693129,MRN-9838319,457051557,XXXX-XXXX-XXXX-0000,**** **** **** 1856,camille.johnson@sample.co.uk,+33 4 54 61 38,N/A,"49 Boulevard Saint-Germain, Bâtiment 5 42490 Marseille, France",Latitude: -10.254809; Longitude: -26.412362,36.47.99.38,D70L808UYSNT,19596b0a57b9,,,,,,,
Emily Williams,emilyw63,acct_Emily_Williams,000-00-0000,NID-OOMH5FQ3,WQEK9KSL,AL69EWLD,,CERT-2004-116039,MRN-8012696,9623838440,XXXX-XXXX-XXXX-0000,4048715905182378,emily.williams+263@service.net,+33 9 98 45 77,N/A,"6634 2nd Ave, Austin, CA 67997, USA",POINT(82.660039 -19.12355),86d1:3502:4bc4::3614:ce:62cb:df6a,SN-3581182,a8f7e1bf43dc,,,,,,,
Ethan Schmidt,ethanschmidt430,acct_Ethan_Schmidt,XXX-XX-XXXX,4.99196E+11,QQ9GRTAAD,C2X0CJPHD1,GOV-427521,CERT-2014-806073,MRN-9682288,5906 77185,N/A,4350642729904386,ethan.schmidt@sample.co.uk,+33 9 30 93 15,N/A,"538 Sunset Blvd, New York, TX 18476, USA, near the big, old, oak tree, behind the museum",-84.687892;44.579773,4f38:1c60:dd29:c48b::def0:cfd8:a55c,,25ee06bb227a,,,,,,,
Tom Johnson,tomjohnson,Tom_17,NID-T9HIZ6H5,058899058081,EG00T0B,EKS121QJ,GOV-630286,CERT-2004-739931,MRN-6207498,65781304995,<script>alert('xss')</script>,masked: **** **** **** 5678,tom.johnson..x@mydomain.fr,-9486,,"1359 Elm St, New York, TX 54624, USA",Latitude: -44.222969; Longitude: 11.6724,b053:adad:f0cb:10c0:526e:44b6:916:,,8e-30-90-7e-25-0f,,,,,,,
anaïs garcía,anaïsgarcía,anaïs_42,805 75 2213,FR91782200810,UFU5UVG,C-Z2GA6AAQ,,CERT-2016-728377,MRN-4227496,8750310497,**** **** **** 5665,masked: **** **** **** 5678,"""anaïs.garcía@8""@testmail.com",(794) 980-1626 x598,(602) 610-4566 x17,"101 Place de la République, Bâtiment 1 26621 Paris, France","-79.832446,3.750346",3758:2e49:68b1:ba57:640c::7e20:d4cb,,12:F2:2D:5D:C4:31,,,,,,,
OlIvIA willIams,oliviawilliams,OlIvIA willIams Account,000-00-0000,3.78866E+11,N5SN95P,UDUKHSAUAQ,,CERT-2024-436951,MRN-9629145,8955 713198,5961639525747779,masked: **** **** **** 5678,olivia.williams+625@testmail.com,-8906,N/A,"9345 Main St, Austin, NY 76030, USA","36.706672,33.988036",:f0fe:4ae7:f3c2:6174:ee1d:d98f:7ebe,3O6P1Y0B556U,1c:95:8e:ba:17:e3,,,,,,,
TOM MOREAU,tomm54,TOM_97,327967241,NID-PHZYA7H1,FVXY1F,SBR2WCCC,,CERT-2010-578810,MRN-8922706,42449663,4045398048867253,4688130384691282,"""tom.moreau@5""@service.net",+33 9 17 90 82,N/A,"1541 3rd St, Austin, CA 46404, USA",POINT(117.712324 78.808101),e545:2cd5:d5b4:aa7a:12e3::8665:35a6,,82:f8:db:45:0a:60,,,,,,,
Claire-Brown,claire-brown,corp:Claire-Brown,835 78 0075,NID-ZR8AKP1I,HO67XM,HWRP-4,GOV-670611,CERT-2011-508232,MRN-1591066,0157997062,N/A,4390390920056269,CLAIREBROWN@testmail.com,-5312,,"64 Place de la République, Bâtiment 1 71475 Marseille, France",Latitude: -25.018638; Longitude: -83.42441,127.0.0.1,,8f:ac:7c:fc:b8:13,,,,,,,
cHLOÉ johnson,chloéjohnson,cHLOÉ johnson Account,883321617,NID-8W4AMQAH,5ZF3BY,NCHGI2,,CERT-2002-696954,MRN-7203579,1147546624,XXXX-XXXX-XXXX-0000,**** **** **** 0787,chloé.johnson@sub.service.net,(490) 700-6020 x858,,"64 Boulevard Saint-Germain, Appartement 43 56970 Paris, France","{""lat"": 60.49823, ""lon"": -49.387628}",127.0.0.1,,E5:89:09:B7:56:0A,,,,,,,
